0.52528,0.21117,0.51731,0.67215,0.40997,0.81707,0.56303,0.51782,0.22168,0.43205,0.93483,0.34456,0.825,0.5,0.48975,0.37766,0.50741,0.57188,0.63478,0.37026,0.31594,0.68283,0.8354,0.36455,0.093613,0.66278,0.8544,0.30956,1
0.46104,0.14083,0.49645,0.89443,0.21452,0.8,0.57563,0.48214,0.22369,0.41794,0.91385,0.35026,0.80556,0.51596,0.49119,0.38993,0.48518,0.54275,0.63942,0.39796,0.27064,0.56403,0.89583,0.51995,0.057163,0.4313,0.86748,0.52062,1
0.50962,0.25397,0.48391,0.67408,0.39819,0.80732,0.55042,0.49231,0.25301,0.39405,0.92346,0.3403,0.81389,0.52128,0.46944,0.39901,0.49645,0.53606,0.60815,0.42466,0.31475,0.50624,0.86072,0.64206,0.092724,0.27369,0.85974,0.69049,1
0.51831,0.22463,0.48928,0.67155,0.37797,0.78537,0.54622,0.47422,0.28293,0.41547,0.9109,0.3072,0.73889,0.48404,0.44661,0.38938,0.52319,0.54514,0.60629,0.43696,0.32787,0.5864,0.83679,0.54959,0.14729,0.40082,0.85301,0.56985,1
0.51441,0.19426,0.45096,0.66942,0.39979,0.79024,0.57143,0.48758,0.27619,0.41703,0.92127,0.29676,0.75,0.47872,0.44877,0.3723,0.54083,0.55261,0.60275,0.38733,0.36945,0.69017,0.80145,0.39846,0.16075,0.64284,0.82458,0.29429,1
0.51351,0.19906,0.31838,0.67783,0.38558,0.8,0.58824,0.49957,0.21825,0.42016,0.92882,0.31954,0.78889,0.56915,0.4873,0.36474,0.49157,0.55726,0.60661,0.37987,0.30469,0.73256,0.81531,0.37151,0.13067,0.64162,0.82949,0.27769,1
0.47061,0.12859,0.55241,0.89678,0.18772,0.77317,0.64706,0.49173,0.20797,0.38889,0.91538,0.33271,0.79444,0.51064,0.49826,0.3826,0.50806,0.56083,0.63385,0.39109,0.28464,0.65771,0.85227,0.38681,0.085626,0.56574,0.85235,0.35395,1
0.50638,0.21515,0.47151,0.67367,0.39225,0.79512,0.61345,0.49841,0.19662,0.39062,0.92571,0.32344,0.79167,0.57447,0.50084,0.38853,0.48553,0.54113,0.61372,0.42793,0.34677,0.50507,0.84425,0.64161,0.094193,0.29522,0.84825,0.61657,1
0.49815,0.20803,0.47828,0.68584,0.38049,0.8,0.60924,0.47746,0.22523,0.20036,0.92727,0.33069,0.80556,0.53723,0.4876,0.38587,0.49796,0.55601,0.63903,0.3638,0.29974,0.62947,0.88377,0.42468,0.077208,0.57787,0.85399,0.36837,1
0.46126,0.15768,0.53257,0.91668,0.17534,0.74634,0.62605,0.50747,0.22003,0.37923,0.92771,0.30937,0.78056,0.53191,0.48454,0.37667,0.52644,0.54069,0.59527,0.35281,0.34892,0.67289,0.83505,0.39623,0.13133,0.63201,0.84463,0.32646,1
